Year,Month,Passengers,Line
2017,1,549007,1
2017,1,515947,2
2017,1,770564,3
2017,1,621256,5
2017,1,429640,7
2017,1,520692,9
2017,1,322392,4
2017,1,95473,6
2017,1,18188,8
2017,1,0,10
2017,2,651231,1
2017,2,585220,2
2017,2,904821,3
2017,2,711228,5
2017,2,488948,7
2017,2,616795,9
2017,2,442298,4
2017,2,129806,6
2017,2,20631,8
2017,2,0,10
2017,3,889874,1
2017,3,805222,2
2017,3,1241660,3
2017,3,1059082,5
2017,3,714116,7
2017,3,853303,9
2017,3,561874,4
2017,3,155534,6
2017,3,26139,8
2017,3,0,10
2017,4,670034,1
2017,4,610025,2
2017,4,913355,3
2017,4,797596,5
2017,4,527791,7
2017,4,619630,9
2017,4,443678,4
2017,4,138722,6
2017,4,31648,8
2017,4,0,10
2017,5,845639,1
2017,5,747375,2
2017,5,1110538,3
2017,5,921005,5
2017,5,618673,7
2017,5,746460,9
2017,5,570663,4
2017,5,178880,6
2017,5,40996,8
2017,5,0,10
2017,6,792808,1
2017,6,703608,2
2017,6,1048260,3
2017,6,872186,5
2017,6,593164,7
2017,6,701588,9
2017,6,537717,4
2017,6,178450,6
2017,6,49704,8
2017,6,0,10
2017,7,685524,1
2017,7,651675,2
2017,7,970270,3
2017,7,800603,5
2017,7,537931,7
2017,7,561164,9
2017,7,451998,4
2017,7,150354,6
2017,7,45714,8
2017,7,0,10
2017,8,391209,1
2017,8,519614,2
2017,8,609390,3
2017,8,590440,5
2017,8,376189,7
2017,8,417421,9
2017,8,316107,4
2017,8,100438,6
2017,8,34298,8
2017,8,0,10
2017,9,820032,1
2017,9,746583,2
2017,9,1182563,3
2017,9,904786,5
2017,9,603105,7
2017,9,668270,9
2017,9,569043,4
2017,9,175247,6
2017,9,35700,8
2017,9,0,10
2017,10,937681,1
2017,10,852985,2
2017,10,1350227,3
2017,10,1040523,5
2017,10,694090,7
2017,10,767749,9
2017,10,641462,4
2017,10,195189,6
2017,10,36399,8
2017,10,0,10
2017,11,985696,1
2017,11,897459,2
2017,11,1395627,3
2017,11,1072604,5
2017,11,721649,7
2017,11,810226,9
2017,11,731373,4
2017,11,224503,6
2017,11,32158,8
2017,11,0,10
2017,12,934563,1
2017,12,880492,2
2017,12,1348567,3
2017,12,1067952,5
2017,12,721903,7
2017,12,783913,9
2017,12,602416,4
2017,12,182055,6
2017,12,30793,8
2017,12,0,10
2018,1,576382,1
2018,1,539003,2
2018,1,809886,3
2018,1,620003,5
2018,1,459503,7
2018,1,544142,9
2018,1,331945,4
2018,1,101777,6
2018,1,18729,8
2018,1,0,10
2018,2,683702,1
2018,2,611372,2
2018,2,950994,3
2018,2,709794,5
2018,2,522933,7
2018,2,644573,9
2018,2,455403,4
2018,2,138376,6
2018,2,21244,8
2018,2,0,10
2018,3,934244,1
2018,3,841206,2
2018,3,1305022,3
2018,3,1056947,5
2018,3,763751,7
2018,3,891733,9
2018,3,578522,4
2018,3,165804,6
2018,3,26916,8
2018,3,0,10
2018,4,469196,1
2018,4,637286,2
2018,4,959964,3
2018,4,795988,5
2018,4,564476,7
2018,4,647536,9
2018,4,456824,4
2018,4,147881,6
2018,4,32589,8
2018,4,0,10
2018,5,887804,1
2018,5,780773,2
2018,5,1167209,3
2018,5,919148,5
2018,5,661675,7
2018,5,780079,9
2018,5,587571,4
2018,5,190691,6
2018,5,42215,8
2018,5,0,10
2018,6,832339,1
2018,6,735050,2
2018,6,1101753,3
2018,6,870428,5
2018,6,634393,7
2018,6,733185,9
2018,6,553650,4
2018,6,190233,6
2018,6,51182,8
2018,6,0,10
2018,7,719705,1
2018,7,680797,2
2018,7,1019784,3
2018,7,798988,5
2018,7,575321,7
2018,7,586437,9
2018,7,465390,4
2018,7,160281,6
2018,7,47073,8
2018,7,0,10
2018,8,410715,1
2018,8,542834,2
2018,8,640487,3
2018,8,589250,5
2018,8,402336,7
2018,8,436220,9
2018,8,325473,4
2018,8,107070,6
2018,8,35317,8
2018,8,0,10
2018,9,860920,1
2018,9,779945,2
2018,9,1242909,3
2018,9,902962,5
2018,9,645025,7
2018,9,698367,9
2018,9,585903,4
2018,9,186818,6
2018,9,36761,8
2018,9,0,10
2018,10,984435,1
2018,10,891103,2
2018,10,1419130,3
2018,10,1038425,5
2018,10,742334,7
2018,10,802326,9
2018,10,660468,4
2018,10,208077,6
2018,10,37481,8
2018,10,0,10
2018,11,1034844,1
2018,11,937563,2
2018,11,1466847,3
2018,11,1070441,5
2018,11,771809,7
2018,11,846716,9
2018,11,753044,4
2018,11,239326,6
2018,11,33115,8
2018,11,0,10
2018,12,981162,1
2018,12,919838,2
2018,12,1417385,3
2018,12,1065799,5
2018,12,772080,7
2018,12,819218,9
2018,12,620265,4
2018,12,194076,6
2018,12,31709,8
2018,12,0,10
2019,1,396340,1
2019,1,372957,2
2019,1,571857,3
2019,1,431390,5
2019,1,318145,7
2019,1,378041,9
2019,1,233388,4
2019,1,71379,6
2019,1,13199,8
2019,1,0,10
2019,2,373877,1
2019,2,336417,2
2019,2,534006,3
2019,2,392747,5
2019,2,287931,7
2019,2,356126,9
2019,2,254632,4
2019,2,77176,6
2019,2,11906,8
2019,2,0,10
2019,3,508978,1
2019,3,461160,2
2019,3,730067,3
2019,3,582653,5
2019,3,418958,7
2019,3,490844,9
2019,3,322266,4
2019,3,92129,6
2019,3,15029,8
2019,3,0,10
2019,4,478687,1
2019,4,436383,2
2019,4,670786,3
2019,4,548085,5
2019,4,386767,7
2019,4,445202,9
2019,4,317854,4
2019,4,102636,6
